# restwave bluenorm blueerr rednorm rederr
989.067 -0.098 0.074 0.015 0.066
989.199 -0.035 0.075 -0.009 0.067
989.331 0.026 0.077 0.042 0.068
989.463 0.070 0.079 0.158 0.070
989.594 -0.003 0.078 0.254 0.070
989.726 -0.136 0.076 0.186 0.069
989.858 0.075 0.076 0.169 0.067
989.989 0.113 0.075 0.154 0.066
990.121 0.141 0.073 0.278 0.066
990.253 0.273 0.073 0.128 0.064
990.385 0.236 0.073 0.162 0.065
990.516 0.124 0.074 0.330 0.066
990.648 0.349 0.076 0.473 0.069
990.780 0.445 0.077 0.540 0.069
990.911 0.388 0.076 0.516 0.069
991.043 0.419 0.076 0.473 0.068
991.175 0.406 0.075 0.587 0.067
991.307 0.303 0.074 0.585 0.067
991.438 0.272 0.074 0.450 0.067
991.570 0.293 0.075 0.521 0.067
991.702 0.315 0.075 0.565 0.067
991.834 0.303 0.073 0.416 0.066
991.965 0.369 0.074 0.399 0.066
992.097 0.401 0.075 0.364 0.066
992.229 0.335 0.075 0.347 0.066
992.360 0.333 0.074 0.539 0.066
992.492 0.503 0.074 0.546 0.066
992.624 0.408 0.074 0.622 0.066
992.756 0.312 0.073 0.592 0.066
992.887 0.479 0.074 0.606 0.066
993.019 0.462 0.074 0.600 0.066
993.151 0.585 0.075 0.576 0.065
993.282 0.510 0.074 0.540 0.066
993.414 0.328 0.073 0.618 0.068
993.546 0.317 0.073 0.497 0.067
